trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.7, 'e': 4.10913872452334e-05}",25,10,24.349617209187418,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 4.056959714390036e-05}",30,20,23.12906982879623,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.7, 'e': 4.00576830636116e-05}",20,0,30.799996946132513,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.7, 'e': 3.955539733396622e-05}",35,0,54.71064616676924,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.7, 'e': 3.90625e-05}",25,14,19.62639451165612,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 3.8578758535550326e-05}",20,3,28.531878824875317,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.7, 'e': 3.8103947568968146e-05}",20,16,8.519252289628785,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 3.7637848620572846e-05}",20,10,19.252889343710585,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.7, 'e': 3.7180249851279e-05}",25,8,26.807370371726204,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 3.6730945821854914e-05}",25,17,14.945615672494782,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 3.628973726230222e-05}",25,17,16.29874547166861,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.7, 'e': 3.58564308508731e-05}",20,0,27.604012264212205,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.7, 'e': 3.5430839002267575e-05}",20,7,24.48859182068544,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 3.501277966457757e-05}",20,14,10.081671846348812,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 3.460207612456748e-05}",35,21,27.07533315781767,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 3.419855682090216e-05}",30,10,6.648016246569297,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
172,False,"{'a': 0.7, 'e': 3.380205516495403e-05}",30,0,42.62367586416582,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.7, 'e': 3.3412409368839586e-05}",30,0,44.60341116257863,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.7, 'e': 3.302946228035408e-05}",30,12,34.22883442586873,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 3.265306122448979e-05}",20,1,28.377339687139163,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.7, 'e': 3.228305785123967e-05}",20,0,27.261706401266167,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.7, 'e': 3.191930798940279e-05}",20,0,35.50431024247388,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.7, 'e': 3.156167150612296e-05}",25,7,33.33379447398375,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.7, 'e': 3.121001217190475e-05}",20,6,23.818741418943816,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.7, 'e': 3.08641975308642e-05}",30,18,13.019556532510585,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.7, 'e': 3.0524098775983637e-05}",20,12,15.047302138376287,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
